provSize,Query,DG(wo/ EXPL),DG(w/ EXPL)
1000,0.014867271,0.014389700,0.027798316
10000,0.021357835,0.026070726,0.146294599
100000,0.11843431,0.267751238,1.834367081
1000000,1.834470819,5.801407090,44.527478790
