provSize,Query,DG(wo/ EXPL),DG(w/ EXPL)
1000,0.013448325,0.018812793,0.038749202	
10000,0.018535280,0.058787020,0.173857980	
100000,0.072121830,0.612168710,2.478275140
1000000,3.764805292,38.513547072,182.661239070	
