provSize,Query,DG(wo/ EXPL),DG(w/ EXPL)
1000,0.019491659,0.043879429,0.230659404
10000,0.070844965,0.230474416,1.537491874
100000,0.373679281,1.797579407,11.010057223
1000000,7.801035977,39.765573119,268.287974291
