provSize,Query,DG(wo/ EXPL),DG(w/ EXPL)
1000,0.014754543,0.018875872,0.030001494
10000,0.018139636,0.021224364,0.040666649
100000,0.030419139,0.057157544,0.154248700
1000000,0.107875066,0.978799464,4.528850364
4000000,0.657768076,13.044957611,96.487580512
